feature,shap_raw,perm_raw,shap_norm,perm_norm,hybrid_score
page_rank,4.86049214222387e-10,0.03517060367454063,0.0,1.0,0.4
google_index,4.3542341847564723e-10,0.022747156605424267,0.0,0.6623067776456597,0.26492271105826387
nb_www,2.1505757890477596e-10,0.005949256342957088,0.0,0.20570749108204522,0.0822829964328181
web_traffic,2.0821542877380063e-10,0.005249343832020947,0.0,0.18668252080856107,0.07467300832342443
phish_hints,1.8803027086256376e-10,0.002055993000874856,0.0,0.09988109393579096,0.039952437574316386
domain_age,8.721872576241461e-11,0.0013123359580052064,0.0,0.07966706302021404,0.03186682520808561
nb_hyphens,2.266775862925691e-11,0.0012685914260716856,0.0,0.07847800237812096,0.03139120095124839
safe_anchor,8.11783691121073e-11,0.001181102362204689,0.0,0.076099881093936,0.030439952437574403
nb_hyperlinks,2.0838431728980657e-10,0.0005686789151355676,0.0,0.059453032104637406,0.023781212841854964
nb_space,2.9306239190225127e-12,0.0003937007874015852,0.0,0.054696789536267804,0.02187871581450712
nb_percent,2.8012491529139876e-12,0.0003937007874015852,0.0,0.054696789536267804,0.02187871581450712
empty_title,8.93994133805082e-12,0.00034995625546807574,0.0,0.05350772889417502,0.02140309155767001
domain_with_copyright,2.46104637447589e-11,0.00034995625546804245,0.0,0.05350772889417412,0.02140309155766965
nb_dots,2.5365115294479034e-11,0.00034995625546803134,0.0,0.05350772889417382,0.02140309155766953
domain_in_title,6.177146163390559e-11,0.000306211723534533,0.0,0.05231866825208134,0.020927467300832538
ip,5.6066624010766036e-11,0.00021872265966753622,0.0,0.04994054696789639,0.019976218787158558
avg_word_host,2.474643089332163e-11,0.0001312335958005173,0.0,0.047562425683710836,0.019024970273484335
ratio_digits_host,5.0748911214009936e-11,0.0001312335958004951,0.0,0.047562425683710226,0.01902497027348409
nb_redirection,1.1282487094707073e-11,8.748906386701893e-05,0.0,0.046373365041618354,0.01854934601664734
https_token,1.0829684634682174e-11,8.748906386701893e-05,0.0,0.046373365041618354,0.01854934601664734
nb_semicolumn,9.122820188372843e-13,0.0,0.0,0.0439952437574328,0.01759809750297312
nb_dollar,0.0,0.0,0.0,0.0439952437574328,0.01759809750297312
nb_at,1.3142800975860085e-12,0.0,0.0,0.0439952437574328,0.01759809750297312
whois_registered_domain,3.3370121241934425e-12,0.0,0.0,0.0439952437574328,0.01759809750297312
popup_window,2.2886752035189503e-13,0.0,0.0,0.0439952437574328,0.01759809750297312
iframe,3.447439686152243e-14,0.0,0.0,0.0439952437574328,0.01759809750297312
login_form,3.86594695689632e-12,0.0,0.0,0.0439952437574328,0.01759809750297312
ratio_nullHyperlinks,0.0,0.0,0.0,0.0439952437574328,0.01759809750297312
ratio_intRedirection,0.0,0.0,0.0,0.0439952437574328,0.01759809750297312
statistical_report,3.943957551453258e-12,0.0,0.0,0.0439952437574328,0.01759809750297312
port,4.4761492285201336e-13,0.0,0.0,0.0439952437574328,0.01759809750297312
nb_star,0.0,0.0,0.0,0.0439952437574328,0.01759809750297312
nb_tilde,1.347387979430556e-13,0.0,0.0,0.0439952437574328,0.01759809750297312
nb_colon,1.9477056415243584e-12,0.0,0.0,0.0439952437574328,0.01759809750297312
nb_comma,1.0886651443612477e-14,0.0,0.0,0.0439952437574328,0.01759809750297312
nb_or,0.0,0.0,0.0,0.0439952437574328,0.01759809750297312
nb_dslash,0.0,0.0,0.0,0.0439952437574328,0.01759809750297312
tld_in_path,1.694906863089482e-12,0.0,0.0,0.0439952437574328,0.01759809750297312
tld_in_subdomain,6.754160108334912e-12,0.0,0.0,0.0439952437574328,0.01759809750297312
onmouseover,3.674358594349479e-15,0.0,0.0,0.0439952437574328,0.01759809750297312
ratio_intErrors,0.0,0.0,0.0,0.0439952437574328,0.01759809750297312
submit_email,0.0,0.0,0.0,0.0439952437574328,0.01759809750297312
punycode,0.0,0.0,0.0,0.0439952437574328,0.01759809750297312
brand_in_path,1.3432327299056635e-13,0.0,0.0,0.0439952437574328,0.01759809750297312
brand_in_subdomain,2.1545360981423123e-14,0.0,0.0,0.0439952437574328,0.01759809750297312
right_clic,4.1745806735483253e-14,0.0,0.0,0.0439952437574328,0.01759809750297312
sfh,0.0,0.0,0.0,0.0439952437574328,0.01759809750297312
path_extension,0.0,0.0,0.0,0.0439952437574328,0.01759809750297312
nb_external_redirection,0.0,0.0,0.0,0.0439952437574328,0.01759809750297312
abnormal_subdomain,2.6416290657828906e-12,0.0,0.0,0.0439952437574328,0.01759809750297312
longest_word_path,8.963069603618051e-11,-2.2204460492503132e-17,0.0,0.0439952437574322,0.01759809750297288
http_in_path,1.2073445543480383e-12,-4.374453193350947e-05,0.0,0.04280618311534002,0.01712247324613601
dns_record,2.097217122188647e-12,-4.374453193350947e-05,0.0,0.04280618311534002,0.01712247324613601
suspecious_tld,1.395491722651772e-12,-4.374453193350947e-05,0.0,0.04280618311534002,0.01712247324613601
nb_com,3.763527764240305e-12,-4.374453193350947e-05,0.0,0.04280618311534002,0.01712247324613601
shortest_word_host,4.523482831046016e-11,-8.748906386701893e-05,0.0,0.04161712247324724,0.016646848989298895
nb_extCSS,9.630593710707013e-12,-8.748906386701893e-05,0.0,0.04161712247324724,0.016646848989298895
ratio_extRedirection,8.747697255593517e-11,-0.00013123359580053952,0.0,0.04042806183115416,0.016171224732461666
domain_in_brand,1.2274956071338036e-11,-0.00017497812773403787,0.0,0.039239001189061685,0.015695600475624676
longest_word_host,1.7994815284265967e-11,-0.00021872265966754734,0.0,0.038049940546968905,0.015219976218787562
length_url,4.276550493236903e-11,-0.00021872265966754734,0.0,0.038049940546968905,0.015219976218787562
nb_underscore,1.4953775960138944e-11,-0.00021872265966754734,0.0,0.038049940546968905,0.015219976218787562
ratio_extErrors,2.078022042727339e-11,-0.00021872265966754734,0.0,0.038049940546968905,0.015219976218787562
char_repeat,5.910147615479088e-11,-0.00021872265966755845,0.0,0.03804994054696861,0.015219976218787443
prefix_suffix,1.0109040150315196e-11,-0.0002624671916010568,0.0,0.03686087990487613,0.014744351961950453
shortening_service,1.1997395249504594e-11,-0.0002624671916010568,0.0,0.03686087990487613,0.014744351961950453
avg_words_raw,2.4188518283475436e-11,-0.00030621172353456627,0.0,0.03567181926278335,0.014268727705113341
external_favicon,1.1191345947517568e-11,-0.00030621172353456627,0.0,0.03567181926278335,0.014268727705113341
ratio_intHyperlinks,5.819871679411682e-11,-0.00034995625546807574,0.0,0.03448275862069057,0.01379310344827623
random_domain,2.8076082985814053e-12,-0.00034995625546807574,0.0,0.03448275862069057,0.01379310344827623
longest_words_raw,5.4231169622975736e-11,-0.0003937007874015963,0.0,0.03329369797859749,0.013317479191438997
nb_and,7.345301330190195e-12,-0.0004374453193350947,0.0,0.03210463733650502,0.012841854934602007
nb_subdomains,1.9354763718794374e-11,-0.0004374453193350947,0.0,0.03210463733650502,0.012841854934602007
length_hostname,4.445562771193906e-11,-0.0004374453193351058,0.0,0.03210463733650472,0.012841854934601889
nb_qm,3.127530758256334e-11,-0.0005686789151356231,0.0,0.02853745541022668,0.011414982164090672
ratio_intMedia,1.865316221016884e-11,-0.000656167979002642,0.0,0.026159334126041125,0.010463733650416451
nb_eq,2.6426452006769594e-11,-0.0007436570428696609,0.0,0.023781212841855567,0.009512485136742228
nb_slash,3.748977242745329e-11,-0.0008311461067366799,0.0,0.02140309155767001,0.008561236623068005
ratio_digits_url,6.133523718464257e-11,-0.0008748906386701893,0.0,0.020214030915577233,0.008085612366230894
ratio_extMedia,3.129365500323438e-11,-0.0009186351706036988,0.0,0.019024970273484453,0.007609988109393781
domain_registration_length,2.3366678462073938e-11,-0.0009186351706036988,0.0,0.019024970273484453,0.007609988109393781
shortest_word_path,3.585809002258969e-11,-0.0010061242344707177,0.0,0.0166468489892989,0.00665873959571956
length_words_raw,4.241176037385734e-11,-0.0010061242344707177,0.0,0.0166468489892989,0.00665873959571956
ratio_extHyperlinks,7.553187424348868e-11,-0.0011373578302712462,0.0,0.013079667063020562,0.0052318668252082255
links_in_tags,4.015637937833182e-11,-0.0011811023622047556,0.0,0.011890606420927784,0.004756242568371114
avg_word_path,3.785710810470507e-11,-0.0014873140857393219,0.0,0.003567181926278335,0.001426872770511334
shortest_words_raw,2.46258703173162e-11,-0.0016185476815398503,0.0,0.0,0.0
